location,population,total_vaccinations,people_vaccinated,people_fully_vaccinated
Guernsey,63329.0,178525.0,54223.0,52710.0
Aruba,106459.0,174812.0,,84338.0
Andorra,79843.0,157059.0,57912.0,53500.0
Cayman Islands,68722.0,151822.0,62085.0,60664.0
Antigua and Barbuda,93772.0,136512.0,64290.0,62384.0
Gibraltar,32677.0,132810.0,42175.0,41465.0
Bermuda,64207.0,132042.0,48554.0,47657.0
Saint Lucia,179872.0,122977.0,60140.0,54971.0
Faeroe Islands,53117.0,103894.0,41715.0,40895.0
Grenada,125459.0,90686.0,44241.0,39034.0
Greenland,56494.0,79738.0,41227.0,38511.0
Liechtenstein,39355.0,74337.0,26771.0,
Turks and Caicos Islands,45726.0,73907.0,32815.0,30710.0
Saint Vincent and the Grenadines,103959.0,73443.0,37532.0,31632.0
San Marino,33690.0,69338.0,26357.0,23633.0
Dominica,72758.0,67647.0,32995.0,30659.0
Sint Maarten (Dutch part),44192.0,66829.0,29788.0,26773.0
Monaco,36491.0,65140.0,28875.0,25667.0
Saint Kitts and Nevis,47681.0,64297.0,,27000.0
British Virgin Islands,31332.0,41453.0,19466.0,18261.0
Burundi,12889583.0,41316.0,36909.0,36321.0
Cook Islands,17032.0,40854.0,15112.0,14728.0
Bonaire Sint Eustatius and Saba,27052.0,35845.0,19109.0,16736.0
Nauru,12691.0,32157.0,13106.0,11346.0
Anguilla,15877.0,24604.0,10854.0,10380.0
Wallis and Futuna,11596.0,18058.0,7150.0,6803.0
Montserrat,4413.0,4619.0,2104.0,1952.0
